Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,source,4s,6s
JH Board (ENG),1899-1906,6,12,2,108,29,10.8,,,0,0,3,test.csv,,
CG Butts (WI),1985-1988,7,8,1,108,38,15.42,,,0,0,1,test.csv,,
GM Ewing (ZIM),2003-2005,3,6,0,108,71,18.0,,,0,1,2,test.csv,,
Naoomal Jaoomal (INDIA),1932-1934,3,5,1,108,43,27.0,,,0,0,0,test.csv,,
DA Stirling (NZ),1984-1986,6,9,2,108,26,15.42,,,0,0,0,test.csv,,
SJ Cook (SA),1992-1993,3,6,0,107,43,17.83,,,0,0,1,test.csv,,
CB Jennings (AUS),1912-1912,6,8,2,107,32,17.83,,,0,0,2,test.csv,,
AB McDonald (AUS),2009-2009,4,6,1,107,68,21.4,,,0,1,1,test.csv,,
AH McKinnon (SA),1960-1967,8,13,7,107,27,17.83,,,0,0,0,test.csv,,
P Utseya (ZIM),2004-2013,4,8,1,107,45,15.28,,,0,0,2,test.csv,,
EW Dempster (NZ),1953-1954,5,8,2,106,47,17.66,,,0,0,2,test.csv,,
PHT Kaushal (SL),2014-2015,7,12,2,106,18,10.6,,,0,0,1,test.csv,,
CFH Leslie (ENG),1882-1883,4,7,0,106,54,15.14,,,0,1,1,test.csv,,
LS Pascoe (AUS),1977-1982,14,19,9,106,30*,10.6,,,0,0,3,test.csv,,
MSK Prasad (INDIA),1999-2000,6,10,1,106,19,11.77,,,0,0,0,test.csv,,
D Ramnarine (WI),1998-2002,12,21,4,106,35*,6.23,,,0,0,8,test.csv,,
Rashid Khan (AFG),2018-2019,4,7,0,106,51,15.14,,,0,1,0,test.csv,,
CJE Smith (SA),1902-1902,3,6,1,106,45,21.2,,,0,0,0,test.csv,,
WJ Watson (AUS),1955-1955,4,7,1,106,30,17.66,,,0,0,1,test.csv,,
GE Bradburn (NZ),1990-2001,7,10,2,105,30*,13.12,,,0,0,1,test.csv,,
Javed Ahmadi (AFG),2018-2019,2,4,0,105,62,26.25,,,0,1,0,test.csv,,
CB Mpofu (ZIM),2005-2017,15,28,10,105,33,5.83,,,0,0,9,test.csv,,
LS Rajput (INDIA),1985-1985,2,4,0,105,61,26.25,,,0,1,1,test.csv,,
GHT Simpson-Hayward (ENG),1910-1910,5,8,1,105,29*,15.0,,,0,0,1,test.csv,,
CJ Adams (ENG),1999-2000,5,8,0,104,31,13.0,,,0,0,0,test.csv,,
GFJ Liebenberg (SA),1998-1998,5,8,0,104,45,13.0,,,0,0,2,test.csv,,
KR Rickards (WI),1948-1952,2,3,0,104,67,34.66,,,0,1,0,test.csv,,
PR Stirling (IRE),2018-2019,3,6,0,104,36,17.33,,,0,0,1,test.csv,,
M Bisset (SA),1899-1910,3,6,2,103,35,25.75,,,0,0,0,test.csv,,
JW Hitch (ENG),1911-1921,7,10,3,103,51*,14.71,,,0,1,1,test.csv,,
SB O'Connor (NZ),1997-2001,19,27,9,103,20,5.72,,,0,0,4,test.csv,,
AG Hurst (AUS),1974-1979,12,20,3,102,26,6.0,,,0,0,10,test.csv,,
R Lamba (INDIA),1986-1987,4,5,0,102,53,20.4,,,0,1,1,test.csv,,
RM Prideaux (ENG),1968-1969,3,6,1,102,64,20.4,,,0,1,0,test.csv,,
PM Pushpakumara (SL),2017-2018,4,8,2,102,42*,17.0,,,0,0,0,test.csv,,
CIJ Smith (ENG),1935-1937,5,10,0,102,27,10.2,,,0,0,2,test.csv,,
Aaqib Javed (PAK),1989-1998,22,27,7,101,28*,5.05,,,0,0,8,test.csv,,
DD Beard (NZ),1952-1956,4,7,2,101,31,20.2,,,0,0,0,test.csv,,
G Challenor (WI),1928-1928,3,6,0,101,46,16.83,,,0,0,2,test.csv,,
SK Coen (SA),1927-1928,2,4,2,101,41*,50.5,,,0,0,0,test.csv,,
CS Cowdrey (ENG),1984-1988,6,8,1,101,38,14.42,,,0,0,1,test.csv,,
A Hill (ENG),1877-1877,2,4,2,101,49,50.5,,,0,0,1,test.csv,,
KA Hope (WI),2017-2017,5,9,0,101,43,11.22,,,0,0,2,test.csv,,
TA Harris (SA),1947-1949,3,5,1,100,60,25.0,,,0,1,0,test.csv,,
Khan Mohammad (PAK),1952-1958,13,17,7,100,26*,10.0,,,0,0,3,test.csv,,
RD Robinson (AUS),1977-1977,3,6,0,100,34,16.66,,,0,0,0,test.csv,,
HA Furlonge (WI),1955-1956,3,5,0,99,64,19.8,,,0,1,1,test.csv,,
Maninder Singh (INDIA),1982-1993,35,38,12,99,15,3.8,,,0,0,11,test.csv,,
MN Nawaz (SL),2002-2002,1,2,1,99,78*,99.0,,,0,1,0,test.csv,,
N Oldfield (ENG),1939-1939,1,2,0,99,80,49.5,,,0,1,0,test.csv,,
Robiul Islam (BDESH),2010-2014,9,17,6,99,33,9.0,,,0,0,6,test.csv,,
Shafiq Ahmed (PAK),1974-1981,6,10,1,99,27*,11.0,,,0,0,3,test.csv,,
Shahriar Hossain (BDESH),2000-2004,3,5,0,99,48,19.8,,,0,0,0,test.csv,,
Umar Amin (PAK),2010-2010,4,8,0,99,33,12.37,,,0,0,1,test.csv,,
RK Chauhan (INDIA),1993-1998,21,17,3,98,23,7.0,,,0,0,1,test.csv,,
CM Christiani (WI),1935-1935,4,7,2,98,32*,19.6,,,0,0,1,test.csv,,
WM Clark (AUS),1977-1979,10,19,2,98,33,5.76,,,0,0,8,test.csv,,
AC Cummins (WI),1993-1994,5,6,1,98,50,19.6,,,0,1,1,test.csv,,
ELG Hoad (WI),1928-1933,4,8,0,98,36,12.25,,,0,0,1,test.csv,,
S Muthusamy (SA),2019-2019,2,4,2,98,49*,49.0,,,0,0,0,test.csv,,
IAR Peebles (ENG),1927-1931,13,17,8,98,26,10.88,,,0,0,3,test.csv,,
V Permaul (WI),2012-2015,6,9,1,98,23*,12.25,,,0,0,3,test.csv,,
Aftab Baloch (PAK),1969-1975,2,3,1,97,60*,48.5,,,0,1,0,test.csv,,
JC Archer (ENG),2019-2019,7,12,0,97,30,8.08,,,0,0,0,test.csv,,
Hasibul Hossain (BDESH),2000-2001,5,10,1,97,31,10.77,,,0,0,2,test.csv,,
AR Kapoor (INDIA),1994-1996,4,6,1,97,42,19.4,,,0,0,0,test.csv,,
GAE Paine (ENG),1935-1935,4,7,1,97,49,16.16,,,0,0,1,test.csv,,
CP Senanayake (SL),1991-1991,3,5,0,97,64,19.4,,,0,1,1,test.csv,,
LF Townsend (ENG),1930-1934,4,6,0,97,40,16.16,,,0,0,0,test.csv,,
GD Varnals (SA),1964-1965,3,6,0,97,23,16.16,,,0,0,0,test.csv,,
GD Watson (AUS),1966-1972,5,9,0,97,50,10.77,,,0,1,3,test.csv,,
IDR Bradshaw (WI),2006-2006,5,8,1,96,33,13.71,,,0,0,1,test.csv,,
R Clarke (ENG),2003-2003,2,3,0,96,55,32.0,,,0,1,0,test.csv,,
DV Dyer (SA),1947-1947,3,6,0,96,62,16.0,,,0,1,0,test.csv,,
PE McEwan (NZ),1980-1984,4,7,1,96,40*,16.0,,,0,0,1,test.csv,,
G MacGregor (ENG),1890-1893,8,11,3,96,31,12.0,,,0,0,1,test.csv,,
KMA Paul (WI),2018-2019,3,6,0,96,47,16.0,,,0,0,1,test.csv,,
WV Rodriguez (WI),1962-1968,5,7,0,96,50,13.71,,,0,1,1,test.csv,,
VH Stollmeyer (WI),1939-1939,1,1,0,96,96,96.0,,,0,1,0,test.csv,,
B Warnapura (SL),1982-1982,4,8,0,96,38,12.0,,,0,0,1,test.csv,,
KJ Abbott (SA),2013-2017,11,14,0,95,17,6.78,,,0,0,4,test.csv,,
HDG Leveson Gower (ENG),1910-1910,3,6,2,95,31,23.75,,,0,0,0,test.csv,,
RP Snell (SA),1992-1994,5,8,1,95,48,13.57,,,0,0,1,test.csv,,
HK Badani (INDIA),2001-2001,4,7,1,94,38,15.66,,,0,0,0,test.csv,,
KS Lokuarachchi (SL),2003-2004,4,5,1,94,28*,23.5,,,0,0,0,test.csv,,
Hon.A Lyttelton (ENG),1880-1884,4,7,1,94,31,15.66,,,0,0,0,test.csv,,
K Thomson (NZ),1968-1968,2,4,1,94,69,31.33,,,0,1,1,test.csv,,
T Thushara (SL),2003-2010,10,14,3,94,15*,8.54,,,0,0,3,test.csv,,
DJ Vilas (SA),2015-2016,6,9,0,94,26,10.44,,,0,0,0,test.csv,,
AS Wassan (INDIA),1990-1990,4,5,1,94,53,23.5,,,0,1,1,test.csv,,
Yasir Arafat (PAK),2007-2009,3,3,1,94,50*,47.0,,,0,1,1,test.csv,,
Asif Masood (PAK),1969-1977,16,19,10,93,30*,10.33,,,0,0,5,test.csv,,
MRCN Bandaratilleke (SL),1998-2001,7,9,1,93,25,11.62,,,0,0,1,test.csv,,
OD Gibson (WI),1995-1999,2,4,0,93,37,23.25,,,0,0,0,test.csv,,
J Hunter (ENG),1884-1885,5,7,2,93,39*,18.6,,,0,0,0,test.csv,,
AS Kennedy (ENG),1922-1923,5,8,2,93,41*,15.5,,,0,0,1,test.csv,,
Mohammad Abbas (PAK),2017-2019,17,24,11,93,29,7.15,,,0,0,3,test.csv,,
PI Philpott (AUS),1965-1966,8,10,1,93,22,10.33,,,0,0,0,test.csv,,
BA Reid (AUS),1985-1992,27,34,14,93,13,4.65,,,0,0,6,test.csv,,
G Bean (ENG),1892-1892,3,5,0,92,50,18.4,,,0,1,0,test.csv,,
AG Milkha Singh (INDIA),1960-1961,4,6,0,92,35,15.33,,,0,0,0,test.csv,,
SD Anurasiri (SL),1986-1998,18,22,5,91,24,5.35,,,0,0,3,test.csv,,
JG Binks (ENG),1964-1964,2,4,0,91,55,22.75,,,0,1,0,test.csv,,
CE Eksteen (SA),1993-2000,7,11,2,91,22,10.11,,,0,0,1,test.csv,,
HC Griffith (WI),1928-1933,13,23,5,91,18,5.05,,,0,0,6,test.csv,,
R Pilling (ENG),1881-1888,8,13,1,91,23,7.58,,,0,0,1,test.csv,,
AK Roy (INDIA),1969-1969,4,7,0,91,48,13.0,,,0,0,2,test.csv,,
Al-Amin Hossain (BDESH),2013-2019,7,11,7,90,32*,22.5,,,0,0,0,test.csv,,
T Campbell (SA),1910-1912,5,9,3,90,48,15.0,,,0,0,1,test.csv,,
TL Chatara (ZIM),2013-2018,9,16,2,90,22,6.42,,,0,0,5,test.csv,,
J Cowie (NZ),1937-1949,9,13,4,90,45,10.0,,,0,0,3,test.csv,,
KM Dabengwa (ZIM),2005-2005,3,6,0,90,35,15.0,,,0,0,1,test.csv,,
TN Madondo (ZIM),1998-2000,3,4,1,90,74*,30.0,,,0,1,1,test.csv,,
NA Quinn (SA),1929-1932,12,18,3,90,28,6.0,,,0,0,1,test.csv,,
BG Rogers (ZIM),2005-2005,4,8,0,90,29,11.25,,,0,0,2,test.csv,,
GR Hazlitt (AUS),1907-1912,9,12,4,89,34*,11.12,,,0,0,2,test.csv,,
G Kishenchand (INDIA),1947-1952,5,10,0,89,44,8.9,,,0,0,5,test.csv,,
RN Lewis (WI),1997-2008,5,10,0,89,40,8.9,,,0,0,4,test.csv,,
PP Ojha (INDIA),2009-2013,24,27,17,89,18*,8.9,,,0,0,4,test.csv,,
NM Parker (NZ),1976-1976,3,6,0,89,40,14.83,,,0,0,0,test.csv,,
Tushar Imran (BDESH),2002-2007,5,10,0,89,28,8.9,,,0,0,3,test.csv,,
Ariful Haque (BDESH),2018-2018,2,4,1,88,41*,29.33,,,0,0,0,test.csv,,
CK Coventry (ZIM),2005-2005,2,4,0,88,37,22.0,,,0,0,0,test.csv,,
SMS Kaluperuma (SL),1984-1988,4,8,0,88,23,11.0,,,0,0,1,test.csv,,
M Kartik (INDIA),2000-2004,8,10,1,88,43,9.77,,,0,0,2,test.csv,,
TR McKibbin (AUS),1895-1898,5,8,2,88,28*,14.66,,,0,0,2,test.csv,,
SW Masakadza (ZIM),2012-2014,5,9,1,88,24,11.0,,,0,0,3,test.csv,,
AN Ranasinghe (SL),1982-1982,2,4,0,88,77,22.0,,,0,1,1,test.csv,,
Shabbir Ahmed (PAK),2003-2005,10,15,5,88,24*,8.8,,,0,0,4,test.csv,,
Zulqarnain Haider (PAK),2010-2010,1,2,0,88,88,44.0,,,0,1,1,test.csv,,
ST Callaway (AUS),1892-1895,3,6,1,87,41,17.4,,,0,0,1,test.csv,,
TJ Laughlin (AUS),1978-1978,3,5,0,87,35,17.4,,,0,0,0,test.csv,,
MP Maynard (ENG),1988-1994,4,8,0,87,35,10.87,,,0,0,2,test.csv,,
D Ranatunga (SL),1989-1989,2,3,0,87,45,29.0,,,0,0,0,test.csv,,
ET Smith (ENG),2003-2003,3,5,0,87,64,17.4,,,0,1,2,test.csv,,
AB Tancred (SA),1889-1889,2,4,1,87,29,29.0,,,0,0,0,test.csv,,
GD Elliott (NZ),2008-2009,5,9,1,86,25,10.75,,,0,0,1,test.csv,,
EG Hayes (ENG),1906-1912,5,9,1,86,35,10.75,,,0,0,2,test.csv,,
ND Howard (ENG),1951-1952,4,6,1,86,23,17.2,,,0,0,0,test.csv,,
RC Irani (ENG),1996-1999,3,5,0,86,41,17.2,,,0,0,0,test.csv,,
JDA O'Connor (AUS),1908-1909,4,8,1,86,20,12.28,,,0,0,0,test.csv,,
SNJ O'Keefe (AUS),2014-2017,9,13,4,86,25,9.55,,,0,0,2,test.csv,,
JR Gunn (ENG),1901-1905,6,10,2,85,24,10.62,,,0,0,1,test.csv,,
Mohammad Farooq (PAK),1960-1965,7,9,4,85,47,17.0,,,0,0,1,test.csv,,
SG Shinde (INDIA),1946-1952,7,11,5,85,14,14.16,,,0,0,0,test.csv,,
D Taylor (SA),1914-1914,2,4,0,85,36,21.25,,,0,0,0,test.csv,,
DJ Colley (AUS),1972-1972,3,4,0,84,54,21.0,,,0,1,0,test.csv,,
LA Dawson (ENG),2016-2017,3,6,2,84,66*,21.0,,,0,1,3,test.csv,,
AS Joseph (WI),2016-2019,9,15,0,84,34,5.6,,,0,0,5,test.csv,,
RR Jumadeen (WI),1972-1979,12,14,10,84,56,21.0,,,0,1,2,test.csv,,
Yuvraj of Patiala (INDIA),1934-1934,1,2,0,84,60,42.0,,,0,1,0,test.csv,,
MA Seymour (SA),1963-1970,7,10,3,84,36,12.0,,,0,0,3,test.csv,,
U Afzaal (ENG),2001-2001,3,6,1,83,54,16.6,,,0,1,0,test.csv,,
W Barber (ENG),1935-1935,2,4,0,83,44,20.75,,,0,0,0,test.csv,,
J Botha (SA),2006-2010,5,6,2,83,25,20.75,,,0,0,0,test.csv,,
DT Hondo (ZIM),2001-2005,9,15,6,83,19,9.22,,,0,0,1,test.csv,,
SW Sohoni (INDIA),1946-1951,4,7,2,83,29*,16.6,,,0,0,0,test.csv,,
JG Thomas (ENG),1986-1986,5,10,4,83,31*,13.83,,,0,0,3,test.csv,,
Amir Elahi (INDIA/PAK),1947-1952,6,9,1,82,47,10.25,,,0,0,1,test.csv,,
E Evans (AUS),1881-1886,6,10,2,82,33,10.25,,,0,0,3,test.csv,,
TS Roland-Jones (ENG),2017-2017,4,6,2,82,25,20.5,,,0,0,0,test.csv,,
M Zondeki (SA),2003-2008,6,5,0,82,59,16.4,,,0,1,1,test.csv,,
EE Achong (WI),1930-1935,6,11,1,81,22,8.1,,,0,0,2,test.csv,,
JH de Courcy (AUS),1953-1953,3,6,1,81,41,16.2,,,0,0,0,test.csv,,
GN Francis (WI),1928-1933,10,18,4,81,19*,5.78,,,0,0,4,test.csv,,
RA Hamence (AUS),1947-1948,3,4,1,81,30*,27.0,,,0,0,0,test.csv,,
ET Killick (ENG),1929-1929,2,4,0,81,31,20.25,,,0,0,0,test.csv,,
AE Knight (ENG),1904-1904,3,6,1,81,70*,16.2,,,0,1,3,test.csv,,
SI Mahmood (ENG),2006-2007,8,11,1,81,34,8.1,,,0,0,3,test.csv,,
Manjural Islam (BDESH),2001-2004,17,33,11,81,21,3.68,,,0,0,10,test.csv,,
IL Mendonca (WI),1962-1962,2,2,0,81,78,40.5,,,0,1,0,test.csv,,
WN Slack (ENG),1986-1986,3,6,0,81,52,13.5,,,0,1,2,test.csv,,
JE Barrett (AUS),1890-1890,2,4,1,80,67*,26.66,,,0,1,1,test.csv,,
T Duffin (ZIM),2005-2005,2,4,0,80,56,20.0,,,0,1,0,test.csv,,
AEV Hartkopf (AUS),1925-1925,1,2,0,80,80,40.0,,,0,1,1,test.csv,,
JM Kemp (SA),2001-2005,4,6,0,80,55,13.33,,,0,1,2,test.csv,,
RD Parkar (INDIA),1972-1973,2,4,0,80,35,20.0,,,0,0,0,test.csv,,
DJ Sincock (AUS),1964-1966,3,4,1,80,29,26.66,,,0,0,0,test.csv,,
DM Smith (ENG),1986-1986,2,4,0,80,47,20.0,,,0,0,1,test.csv,,
A Wood (ENG),1938-1939,4,5,1,80,53,20.0,,,0,1,1,test.csv,,
TM Chappell (AUS),1981-1981,3,6,1,79,27,15.8,,,0,0,0,test.csv,,
JA Maclean (AUS),1978-1979,4,8,1,79,33*,11.28,,,0,0,2,test.csv,,
JA Small (WI),1928-1930,3,6,0,79,52,13.16,,,0,1,2,test.csv,,
A Fielder (ENG),1904-1908,6,12,5,78,20,11.14,,,0,0,0,test.csv,,
MN Lathwell (ENG),1993-1993,2,4,0,78,33,19.5,,,0,0,1,test.csv,,
RAL Massie (AUS),1972-1973,6,8,1,78,42,11.14,,,0,0,3,test.csv,,
SF Mire (ZIM),2017-2017,2,4,0,78,47,19.5,,,0,0,1,test.csv,,
P Bhandari (INDIA),1955-1956,3,4,0,77,39,19.25,,,0,0,0,test.csv,,
A Greenwood (ENG),1877-1877,2,4,0,77,49,19.25,,,0,0,0,test.csv,,
A Nehra (INDIA),1999-2004,17,25,11,77,19,5.5,,,0,0,10,test.csv,,
ASA Perera (SL),1998-2001,3,4,1,77,43*,25.66,,,0,0,0,test.csv,,
JN Shepherd (WI),1969-1971,5,8,0,77,32,9.62,,,0,0,2,test.csv,,
DCH Townsend (ENG),1935-1935,3,6,0,77,36,12.83,,,0,0,0,test.csv,,
Ata-ur-Rehman (PAK),1992-1996,13,15,6,76,19,8.44,,,0,0,3,test.csv,,
IG Butler (NZ),2002-2004,8,10,2,76,26,9.5,,,0,0,2,test.csv,,
GHG Doggart (ENG),1950-1950,2,4,0,76,29,19.0,,,0,0,1,test.csv,,
B Dooland (AUS),1947-1948,3,5,1,76,29,19.0,,,0,0,0,test.csv,,
A D'Souza (PAK),1959-1962,6,10,8,76,23*,38.0,,,0,0,0,test.csv,,
MR Gillespie (NZ),2007-2012,5,8,1,76,27,10.85,,,0,0,3,test.csv,,
PJ Loader (ENG),1954-1959,13,19,6,76,17,5.84,,,0,0,3,test.csv,,
LC Mayne (AUS),1965-1970,6,11,3,76,13,9.5,,,0,0,1,test.csv,,
F Nicholson (SA),1935-1936,4,8,1,76,29,10.85,,,0,0,4,test.csv,,
RM Poore (SA),1896-1896,3,6,0,76,20,12.66,,,0,0,0,test.csv,,
DW Allan (WI),1962-1966,5,7,1,75,40*,12.5,,,0,0,0,test.csv,,
H Donnan (AUS),1892-1896,5,10,1,75,15,8.33,,,0,0,1,test.csv,,
MK Elgie (SA),1961-1962,3,6,0,75,56,12.5,,,0,1,2,test.csv,,
JT Ward (NZ),1964-1968,8,12,6,75,35*,12.5,,,0,0,2,test.csv,,
D Wilson (ENG),1964-1971,6,7,1,75,42,12.5,,,0,0,0,test.csv,,
JER Gallian (ENG),1995-1995,3,6,0,74,28,12.33,,,0,0,2,test.csv,,
AG Huckle (ZIM),1997-1998,8,14,3,74,28*,6.72,,,0,0,7,test.csv,,
HH Kanitkar (INDIA),1999-2000,2,4,0,74,45,18.5,,,0,0,0,test.csv,,
A Maregwede (ZIM),2004-2004,2,4,0,74,28,18.5,,,0,0,1,test.csv,,
BP Martin (NZ),2013-2013,5,6,1,74,41,14.8,,,0,0,1,test.csv,,
NO Perry (WI),1999-1999,4,7,1,74,26,12.33,,,0,0,2,test.csv,,
Shakeel Ahmed jnr (PAK),1993-1995,3,5,0,74,33,14.8,,,0,0,1,test.csv,,
ET Willett (WI),1973-1975,5,8,3,74,26,14.8,,,0,0,2,test.csv,,
Anamul Haque (BDESH),2013-2014,4,8,0,73,22,9.12,,,0,0,1,test.csv,,
Bilal Asif (PAK),2018-2018,5,8,0,73,15,9.12,,,0,0,2,test.csv,,
JA Hayes (NZ),1951-1958,15,22,7,73,19,4.86,,,0,0,4,test.csv,,
JA McCollum (IRE),2019-2019,2,4,0,73,39,18.25,,,0,0,0,test.csv,,
WE Merritt (NZ),1930-1931,6,8,1,73,19,10.42,,,0,0,1,test.csv,,
DJ Mitchell (NZ),2019-2019,1,1,0,73,73,73.0,,,0,1,0,test.csv,,
JT Partridge (SA),1963-1965,11,12,5,73,13*,10.42,,,0,0,0,test.csv,,
EWT Tindill (NZ),1937-1947,5,9,1,73,37*,9.12,,,0,0,1,test.csv,,
ERH Toshack (AUS),1946-1948,12,11,6,73,20*,14.6,,,0,0,1,test.csv,,
HE Dollery (ENG),1947-1950,4,7,0,72,37,10.28,,,0,0,2,test.csv,,
S Elworthy (SA),1998-2002,4,5,1,72,48,18.0,,,0,0,0,test.csv,,
KO Meth (ZIM),2013-2013,2,4,1,72,31*,24.0,,,0,0,0,test.csv,,
TW Routledge (SA),1892-1896,4,8,0,72,24,9.0,,,0,0,1,test.csv,,
A Sanford (WI),2002-2004,11,17,2,72,18*,4.8,,,0,0,2,test.csv,,
EG Wynyard (ENG),1896-1906,3,6,0,72,30,12.0,,,0,0,2,test.csv,,
MJ Bennett (AUS),1984-1985,3,5,2,71,23,23.66,,,0,0,0,test.csv,,
WH Brann (SA),1922-1923,3,5,0,71,50,14.2,,,0,1,1,test.csv,,
RO Butcher (ENG),1981-1981,3,5,0,71,32,14.2,,,0,0,1,test.csv,,
AHH Gilligan (ENG),1930-1930,4,4,0,71,32,17.75,,,0,0,0,test.csv,,
DD Hindlekar (INDIA),1936-1946,4,7,2,71,26,14.2,,,0,0,0,test.csv,,
GJ Hopkins (NZ),2008-2010,4,7,1,71,15,11.83,,,0,0,0,test.csv,,
PA Horne (NZ),1987-1990,4,7,0,71,27,10.14,,,0,0,2,test.csv,,
SP James (ENG),1998-1998,2,4,0,71,36,17.75,,,0,0,1,test.csv,,
JJ Krejza (AUS),2008-2008,2,4,1,71,32,23.66,,,0,0,0,test.csv,,
JE Morris (ENG),1990-1990,3,5,2,71,32,23.66,,,0,0,0,test.csv,,
P Roy (INDIA),1982-1982,2,3,1,71,60*,35.5,,,0,1,0,test.csv,,
DP Sibley (ENG),2019-2019,3,5,0,71,29,14.2,,,0,0,0,test.csv,,
AW White (WI),1965-1965,2,4,1,71,57*,23.66,,,0,1,0,test.csv,,
R Beaumont (SA),1912-1914,5,9,0,70,31,7.77,,,0,0,2,test.csv,,
Bilawal Bhatti (PAK),2013-2014,2,3,1,70,32,35.0,,,0,0,0,test.csv,,
NW Bracken (AUS),2003-2005,5,6,2,70,37,17.5,,,0,0,0,test.csv,,
LG Hylton (WI),1935-1939,6,8,2,70,19,11.66,,,0,0,0,test.csv,,
Nayeem Hasan (BDESH),2018-2019,4,6,2,70,26,17.5,,,0,0,0,test.csv,,
E Peate (ENG),1881-1886,9,14,8,70,13,11.66,,,0,0,1,test.csv,,
GA Smithson (ENG),1948-1948,2,3,0,70,35,23.33,,,0,0,1,test.csv,,
AJ Bell (SA),1929-1935,16,23,12,69,26*,6.27,,,0,0,6,test.csv,,
PVD Chameera (SL),2015-2019,8,15,2,69,19,5.3,,,0,0,4,test.csv,,
SHM Colah (INDIA),1932-1933,2,4,0,69,31,17.25,,,0,0,0,test.csv,,
GJ Crocker (ZIM),1992-1992,3,4,1,69,33,23.0,,,0,0,0,test.csv,,
DK Liyanage (SL),1992-2001,9,9,0,69,23,7.66,,,0,0,1,test.csv,,
Mohammad Shahzad (AFG),2018-2019,2,4,0,69,40,17.25,,,0,0,0,test.csv,,
NI Thomson (ENG),1964-1965,5,4,1,69,39,23.0,,,0,0,1,test.csv,,
AC Waller (ZIM),1996-1996,2,3,0,69,50,23.0,,,0,1,0,test.csv,,
WJ Edwards (AUS),1974-1974,3,6,0,68,30,11.33,,,0,0,2,test.csv,,
H Jupp (ENG),1877-1877,2,4,0,68,63,17.0,,,0,1,1,test.csv,,
MG Melle (SA),1950-1953,7,12,4,68,17,8.5,,,0,0,1,test.csv,,
WH Milton (SA),1889-1892,3,6,0,68,21,11.33,,,0,0,0,test.csv,,
Taskin Ahmed (BDESH),2017-2017,5,10,0,68,33,6.8,,,0,0,1,test.csv,,
MR Whitney (AUS),1981-1992,12,19,8,68,13,6.18,,,0,0,4,test.csv,,
JT Ball (ENG),2016-2017,4,8,0,67,31,8.37,,,0,0,1,test.csv,,
MK Mantri (INDIA),1951-1955,4,8,1,67,39,9.57,,,0,0,2,test.csv,,
WD Parnell (SA),2010-2017,6,4,0,67,23,16.75,,,0,0,0,test.csv,,
MW Pringle (SA),1992-1995,4,6,2,67,33,16.75,,,0,0,0,test.csv,,
CP Schofield (ENG),2000-2000,2,3,0,67,57,22.33,,,0,1,1,test.csv,,
MW Sievers (AUS),1936-1937,3,6,1,67,25*,13.40,,,0,0,0,test.csv,,
PM Such (ENG),1993-1999,11,16,5,67,14*,6.09,,,0,0,3,test.csv,,
NFD Thomson (AUS),1877-1877,2,4,0,67,41,16.75,,,0,0,0,test.csv,,
CV Wight (WI),1928-1930,2,4,1,67,23,22.33,,,0,0,0,test.csv,,
Afaq Hussain (PAK),1961-1964,2,4,4,66,35*,-,,,0,0,0,test.csv,,
TK Curran (ENG),2017-2018,2,3,1,66,39,33.00,,,0,0,0,test.csv,,
M Hayward (SA),1999-2004,16,17,8,66,14,7.33,,,0,0,3,test.csv,,
RD King (WI),1999-2005,19,27,8,66,12*,3.47,,,0,0,7,test.csv,,
A Kuruvilla (INDIA),1997-1997,10,11,1,66,35*,6.60,,,0,0,5,test.csv,,
WS Lees (ENG),1906-1906,5,9,3,66,25*,11.00,,,0,0,0,test.csv,,
JSE Price (ENG),1964-1972,15,15,6,66,32,7.33,,,0,0,5,test.csv,,
JT Botten (SA),1965-1965,3,6,0,65,33,10.83,,,0,0,2,test.csv,,
WR Cuttell (ENG),1899-1899,2,4,0,65,21,16.25,,,0,0,0,test.csv,,
KSC de Silva (SL),1997-1999,8,12,5,65,27,9.28,,,0,0,2,test.csv,,
RM Edwards (WI),1968-1969,5,8,1,65,22,9.28,,,0,0,2,test.csv,,
CW Henderson (SA),2001-2002,7,7,0,65,30,9.28,,,0,0,1,test.csv,,
AJ Hollioake (ENG),1997-1998,4,6,0,65,45,10.83,,,0,0,1,test.csv,,
WER Somerville (NZ),2018-2019,3,4,2,65,40*,32.50,,,0,0,0,test.csv,,
SJ Staples (ENG),1928-1928,3,5,0,65,39,13.00,,,0,0,0,test.csv,,
AP Binns (WI),1953-1956,5,8,1,64,27,9.14,,,0,0,3,test.csv,,
GH Dockrell (IRE),2019-2019,1,2,0,64,39,32.00,,,0,0,0,test.csv,,
ERH Fuller (SA),1953-1958,7,9,1,64,17,8.00,,,0,0,2,test.csv,,
TJD Kelly (AUS),1877-1879,2,3,0,64,35,21.33,,,0,0,0,test.csv,,
JH King (ENG),1909-1909,1,2,0,64,60,32.00,,,0,1,0,test.csv,,
GF Linde (SA),2019-2019,1,2,0,64,37,32.00,,,0,0,0,test.csv,,
ER Mayne (AUS),1912-1921,4,4,1,64,25*,21.33,,,0,0,0,test.csv,,
Naved Ashraf (PAK),1998-2000,2,3,0,64,32,21.33,,,0,0,0,test.csv,,
SR Thompson (IRE),2018-2019,3,6,0,64,53,10.66,,,0,1,1,test.csv,,
PE Whitelaw (NZ),1933-1933,2,4,2,64,30,32.00,,,0,0,0,test.csv,,
